alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time,selected_metric
0.051795,0.000248,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000272,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000298,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000327,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000359,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000394,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000433,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000475,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000521,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000572,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.051795,0.000628,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.051795,0.000689,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.051795,0.000756,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0255,3740.7295,f1_score
0.051795,0.00083,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.051795,0.000911,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.051795,0.001,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0254,3740.7295,f1_score
0.071969,0.000129,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.071969,0.000142,3,5,0.7652,0.0239,0.763,0.0227,0.8326,0.0256,3740.7295,f1_score
0.071969,0.000156,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.071969,0.000171,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.071969,0.000187,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.071969,0.000206,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.071969,0.000226,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.071969,0.000248,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
0.071969,0.000272,3,5,0.7652,0.0239,0.763,0.0227,0.8325,0.0256,3740.7295,f1_score
