alpha,gk_gamma,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std,run_time
0.026827,0.000113,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.026827,0.000127,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.026827,0.000144,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.026827,0.000162,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.026827,0.000183,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.026827,0.000207,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.026827,0.000234,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.026827,0.000264,0.8083,0.0094,0.808,0.0094,0.8838,0.0066,3021.956
0.026827,0.000298,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.026827,0.000336,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.026827,0.000379,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.026827,0.000428,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.026827,0.000483,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.026827,0.000546,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.026827,0.000616,0.8083,0.0094,0.808,0.0094,0.884,0.0066,3021.956
0.026827,0.000695,0.8082,0.0092,0.8079,0.0093,0.884,0.0066,3021.956
0.026827,0.000785,0.8083,0.0094,0.808,0.0094,0.884,0.0066,3021.956
0.026827,0.000886,0.8083,0.0094,0.808,0.0094,0.8841,0.0066,3021.956
0.026827,0.001,0.8083,0.0094,0.808,0.0094,0.8841,0.0066,3021.956
0.037276,0.0001,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.037276,0.000113,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.037276,0.000127,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.037276,0.000144,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.037276,0.000162,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.037276,0.000183,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.037276,0.000207,0.8083,0.0094,0.808,0.0094,0.8838,0.0066,3021.956
0.037276,0.000234,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.037276,0.000264,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.037276,0.000298,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.037276,0.000336,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.037276,0.000379,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.037276,0.000428,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.037276,0.000483,0.8082,0.0092,0.8079,0.0093,0.884,0.0066,3021.956
0.037276,0.000546,0.8083,0.0094,0.808,0.0094,0.884,0.0066,3021.956
0.037276,0.000616,0.8083,0.0094,0.808,0.0094,0.8841,0.0066,3021.956
0.037276,0.000695,0.8083,0.0094,0.808,0.0094,0.8841,0.0066,3021.956
0.037276,0.000785,0.8083,0.0094,0.808,0.0094,0.8842,0.0065,3021.956
0.037276,0.000886,0.8086,0.0093,0.8083,0.0093,0.8842,0.0066,3021.956
0.037276,0.001,0.8088,0.0092,0.8085,0.0093,0.8843,0.0066,3021.956
0.051795,0.0001,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.051795,0.000113,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.051795,0.000127,0.8082,0.0095,0.8079,0.0096,0.8838,0.0066,3021.956
0.051795,0.000144,0.8083,0.0094,0.808,0.0094,0.8838,0.0066,3021.956
0.051795,0.000162,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.051795,0.000183,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.051795,0.000207,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.051795,0.000234,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.051795,0.000264,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.051795,0.000298,0.8083,0.0094,0.808,0.0094,0.884,0.0066,3021.956
0.051795,0.000336,0.8082,0.0092,0.8079,0.0093,0.884,0.0066,3021.956
0.051795,0.000379,0.8082,0.0092,0.8079,0.0093,0.884,0.0066,3021.956
0.051795,0.000428,0.8083,0.0094,0.808,0.0094,0.8841,0.0066,3021.956
0.051795,0.000483,0.8083,0.0094,0.808,0.0094,0.8841,0.0066,3021.956
0.051795,0.000546,0.8083,0.0094,0.808,0.0094,0.8842,0.0066,3021.956
0.051795,0.000616,0.8086,0.0093,0.8083,0.0093,0.8842,0.0066,3021.956
0.051795,0.000695,0.8086,0.0093,0.8083,0.0093,0.8843,0.0066,3021.956
0.051795,0.000785,0.8088,0.0092,0.8085,0.0093,0.8843,0.0065,3021.956
0.051795,0.000886,0.8084,0.0093,0.8082,0.0094,0.8844,0.0065,3021.956
0.051795,0.001,0.8084,0.0093,0.8082,0.0094,0.8845,0.0065,3021.956
0.071969,0.0001,0.8083,0.0094,0.808,0.0094,0.8838,0.0066,3021.956
0.071969,0.000113,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.071969,0.000127,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.071969,0.000144,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.071969,0.000162,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.071969,0.000183,0.8083,0.0094,0.808,0.0094,0.8839,0.0066,3021.956
0.071969,0.000207,0.8083,0.0094,0.808,0.0094,0.884,0.0066,3021.956
0.071969,0.000234,0.8083,0.0094,0.808,0.0094,0.884,0.0066,3021.956
0.071969,0.000264,0.8082,0.0092,0.8079,0.0093,0.884,0.0066,3021.956
0.071969,0.000298,0.8083,0.0094,0.808,0.0094,0.8841,0.0066,3021.956
